"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Martin Dubravka","NEW","G","Drop","1-john lim","1","Sun May 19, 2024, 10:01AM","38"
"Facundo Buonanotte","BHA","M","Drop","1-OGBEAN'S","1","Sun May 19, 2024, 10:01AM","38"
"Scott McTominay","MUN","M","Claim","1-The Dentist","1","Sun May 19, 2024, 10:01AM","38"
"Darwin Nunez","LIV","F","Drop","1-The Dentist","1","Sun May 19, 2024, 10:01AM","38"
"Harvey Barnes","NEW","M","Claim","1-bruNO HARD FEELINGS","1","Sun May 19, 2024, 10:01AM","38"
"Oleksandr Zinchenko","ARS","D","Drop","1-bruNO HARD FEELINGS","1","Sun May 19, 2024, 10:01AM","38"
"Micky van de Ven","TOT","D","Claim","1-Koke Vegas","1","Sun May 19, 2024, 8:16AM","38"
"Ben Brereton","SHU","F","Drop","1-Koke Vegas","1","Sun May 19, 2024, 8:16AM","38"
"Jhon Duran","AVL","F","Claim","1-The Dentist","1","Sat May 18, 2024, 8:30AM","38"
"Micky van de Ven","TOT","D","Drop","1-The Dentist","1","Sat May 18, 2024, 8:30AM","38"
"Stefan Ortega","MCI","G","Claim","1-The Dentist","1","Sat May 18, 2024, 8:29AM","38"
"Djordje Petrovic","CHE","G","Drop","1-The Dentist","1","Sat May 18, 2024, 8:29AM","38"
"Emiliano Martinez","AVL","G","Claim","1-Koke Vegas","1","Fri May 17, 2024, 7:43PM","38"
"Harry Kane","TOT","F","Drop","1-Koke Vegas","1","Fri May 17, 2024, 7:43PM","38"
"Radu Dragusin","TOT","D","Claim","1-Koke Vegas","1","Fri May 17, 2024, 10:57AM","38"
"Joao Cancelo","MCI","D","Drop","1-Koke Vegas","1","Fri May 17, 2024, 10:57AM","38"
"Pedro Neto","WOL","F","Claim","1-OGBEAN'S","1","Fri May 17, 2024, 9:29AM","38"
"Valentin Barco","BHA","D","Claim","1-The Dentist","1","Thu May 16, 2024, 10:06PM","38"
"Sander Berge","BUR","M","Drop","1-The Dentist","1","Thu May 16, 2024, 10:06PM","38"
"Carlton Morris","LUT","F","Claim","1-john lim","1","Thu May 16, 2024, 10:04PM","38"
"Abdoulaye Doucoure","EVE","M","Drop","1-john lim","1","Thu May 16, 2024, 10:04PM","38"
"Micky van de Ven","TOT","D","Claim","1-The Dentist","1","Thu May 16, 2024, 10:03PM","38"
"Joao Cancelo","MCI","D","Claim","1-Koke Vegas","1","Thu May 16, 2024, 9:30PM","38"
"Harry Kane","TOT","F","Claim","1-Koke Vegas","1","Thu May 16, 2024, 9:29PM","38"
"Bart Verbruggen","BHA","G","Drop","1-Koke Vegas","1","Thu May 16, 2024, 9:29PM","38"
"Kyle Walker","MCI","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Thu May 16, 2024, 9:28PM","38"
"Nathan Ake","MCI","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Thu May 16, 2024, 9:28PM","38"
"Christopher Nkunku","CHE","F","Claim","1 - The Narrative","1","Thu May 16, 2024, 9:27PM","38"
"Jack Grealish","MCI","M","Claim","1 - The Narrative","1","Thu May 16, 2024, 9:27PM","38"
"Danilo","NOT","M","Claim","1-The Dentist","1","Thu May 16, 2024, 9:05PM","38"
"Sander Berge","BUR","M","Claim","1-The Dentist","1","Thu May 16, 2024, 9:02PM","38"
"Dominik Szoboszlai","LIV","M","Claim","1-The Dentist","1","Thu May 16, 2024, 9:02PM","38"
"Amad Diallo","MUN","F","Claim","1-Koke Vegas","4","Thu May 16, 2024, 9:00PM","38"
"Dara O'Shea","BUR","D","Claim","1-The Dentist","4","Thu May 16, 2024, 9:00PM","38"
"Mathias Jensen","BRF","M","Claim","1-john lim","2","Thu May 16, 2024, 9:00PM","38"
"Mark Flekken","BRF","G","Claim","1-Burnley and Old Trafford","2","Thu May 16, 2024, 9:00PM","38"
"Ederson","MCI","G","Drop","1-Burnley and Old Trafford","2","Thu May 16, 2024, 9:00PM","38"
"Fabian Schar","NEW","D","Claim","1-ComeBack Szn","1","Thu May 16, 2024, 9:00PM","38"
"Oliver Arblaster","SHU","M","Drop","1-ComeBack Szn","1","Thu May 16, 2024, 9:00PM","38"
"Tariq Lamptey","BHA","D","Claim","1-Koke Vegas","2","Thu May 16, 2024, 9:00PM","38"
"Willy Boly","NOT","D","Claim","1-The Dentist","2","Thu May 16, 2024, 9:00PM","38"
"Marcus Tavernier","BOU","M","Claim","1-john lim","1","Thu May 16, 2024, 9:00PM","38"
"Malo Gusto","CHE","D","Claim","1-Burnley and Old Trafford","1","Thu May 16, 2024, 9:00PM","38"
"Vladimir Coufal","WHU","D","Drop","1-Burnley and Old Trafford","1","Thu May 16, 2024, 9:00PM","38"
"Scott McTominay","MUN","M","Drop","1-Koke Vegas","1","Thu May 16, 2024, 8:20PM","38"
"Christian Eriksen","MUN","M","Drop","1-Koke Vegas","1","Thu May 16, 2024, 8:19PM","38"
"Valentino Livramento","NEW","D","Drop","1-Koke Vegas","1","Thu May 16, 2024, 8:18PM","38"
"Danny Welbeck","BHA","F","Drop","1-The Dentist","1","Wed May 15, 2024, 7:39PM","38"
"Thomas Partey","ARS","M","Drop","1-The Dentist","1","Wed May 15, 2024, 7:39PM","38"
"Mateo Kovacic","MCI","M","Drop","1-The Dentist","1","Wed May 15, 2024, 7:39PM","38"
"Seamus Coleman","EVE","D","Drop","1-The Dentist","1","Wed May 15, 2024, 7:39PM","38"
"Ezri Konsa","AVL","D","Claim","1-john lim","1","Mon May 13, 2024, 2:16PM","37"
"Amad Diallo","MUN","F","Drop","1-The Dentist","1","Sun May 12, 2024, 10:45AM","37"
"Amad Diallo","MUN","F","Claim","1-The Dentist","1","Sun May 12, 2024, 10:31AM","37"
"Murillo","NOT","D,M","Claim","1 - The Narrative","1","Sat May 11, 2024, 12:16PM","37"
"Malo Gusto","CHE","D","Drop","1 - The Narrative","1","Sat May 11, 2024, 12:15PM","37"
"Axel Disasi","CHE","D","Drop","1-bruNO HARD FEELINGS","1","Sat May 11, 2024, 12:04PM","37"
"Christopher Nkunku","CHE","F","Drop","1-Koke Vegas","1","Sat May 11, 2024, 11:30AM","37"
"Christopher Nkunku","CHE","F","Claim","1-Koke Vegas","1","Sat May 11, 2024, 10:44AM","37"
"Scott McTominay","MUN","M","Claim","1-Koke Vegas","1","Sat May 11, 2024, 10:43AM","37"
"Elliot Anderson","NEW","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 11, 2024, 9:58AM","37"
"Dara O'Shea","BUR","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 11, 2024, 9:58AM","37"
"Danilo","NOT","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:56AM","37"
"Thomas Partey","ARS","M","Claim","1-The Dentist","1","Sat May 11, 2024, 9:52AM","37"
"Julio Enciso","BHA","F","Drop","1-The Dentist","1","Sat May 11, 2024, 9:50AM","37"
"Elliot Anderson","NEW","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:49AM","37"
"Ashley Young","EVE","D","Drop","1-Koke Vegas","1","Sat May 11, 2024, 9:48AM","37"
"Danilo","NOT","M","Claim","1-The Dentist","1","Sat May 11, 2024, 9:45AM","37"
"Bart Verbruggen","BHA","G","Claim","1-Koke Vegas","1","Sat May 11, 2024, 9:37AM","37"
"Jose Sa","WOL","G","Drop","1-Koke Vegas","1","Sat May 11, 2024, 9:37AM","37"
"Jordan Ayew","CRY","F","Drop","1-john lim","1","Sat May 11, 2024, 9:26AM","37"
"Oliver Skipp","TOT","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:26AM","37"
"Facundo Buonanotte","BHA","M","Claim","1-OGBEAN'S","1","Sat May 11, 2024, 9:19AM","37"
"Harvey Barnes","NEW","M","Drop","1-OGBEAN'S","1","Sat May 11, 2024, 9:19AM","37"
"Micky van de Ven","TOT","D","Drop","1-OGBEAN'S","1","Sat May 11, 2024, 9:17AM","37"
"Adam Webster","BHA","D","Claim","1-OGBEAN'S","1","Sat May 11, 2024, 9:16AM","37"
"Chiedozie Ogbene","LUT","F","Claim","1-The Dentist","1","Sat May 11, 2024, 9:14AM","37"
"Danilo","NOT","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:14AM","37"
"Mathias Jensen","BRF","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:14AM","37"
"Dara O'Shea","BUR","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 11, 2024, 9:08AM","37"
"Seamus Coleman","EVE","D","Claim","1-The Dentist","1","Sat May 11, 2024, 9:06AM","37"
"Willy Boly","NOT","D","Drop","1-The Dentist","1","Sat May 11, 2024, 9:06AM","37"
"Elliot Anderson","NEW","M","Claim","1-The Dentist","1","Sat May 11, 2024, 9:04AM","37"
"Marcus Tavernier","BOU","M","Drop","1-The Dentist","1","Sat May 11, 2024, 9:04AM","37"
"Vitalii Mykolenko","EVE","D","Drop","1 - The Narrative","1","Sat May 11, 2024, 9:04AM","37"
"Mason Mount","MUN","M","Drop","1 - The Narrative","1","Sat May 11, 2024, 9:03AM","37"
"Tyrick Mitchell","CRY","D","Drop","1 - The Narrative","1","Sat May 11, 2024, 9:03AM","37"
"Edson Alvarez","WHU","M","Drop","1-john lim","1","Sat May 11, 2024, 9:02AM","37"
"Callum Wilson","NEW","F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 11, 2024, 9:02AM","37"
"Jack Harrison","LEE/EVE","M,F","Drop","1-Koke Vegas","1","Sat May 11, 2024, 9:01AM","37"
"Oliver Skipp","TOT","M","Claim","1-The Dentist","1","Sat May 11, 2024, 8:58AM","37"
"Dominik Szoboszlai","LIV","M","Drop","1-The Dentist","1","Sat May 11, 2024, 8:58AM","37"
"Kyle Walker","MCI","D","Drop","1-OGBEAN'S","1","Sat May 11, 2024, 7:06AM","37"
"Marcus Tavernier","BOU","M","Claim","1-The Dentist","1","Sat May 11, 2024, 6:38AM","37"
"Jack Grealish","MCI","M","Drop","1-The Dentist","1","Sat May 11, 2024, 6:33AM","37"
"Ola Aina","NOT","D","Claim","1-Burnley and Old Trafford","1","Sat May 11, 2024, 12:49AM","37"
"Marcus Tavernier","BOU","M","Drop","1-Burnley and Old Trafford","1","Sat May 11, 2024, 12:49AM","37"
"Oleksandr Zinchenko","ARS","D","Claim","1-bruNO HARD FEELINGS","1","Sat May 11, 2024, 12:48AM","37"
"Morgan Rogers","MCI/AVL","F","Drop","1-bruNO HARD FEELINGS","1","Sat May 11, 2024, 12:47AM","37"
"Danny Welbeck","BHA","F","Claim","1-The Dentist","1","Fri May 10, 2024, 3:26PM","37"
"Giovani Lo Celso","TOT","M","Drop","1-The Dentist","1","Fri May 10, 2024, 3:26PM","37"
"Marcus Tavernier","BOU","M","Claim","1-Burnley and Old Trafford","1","Fri May 10, 2024, 12:57PM","37"
"Neco Williams","NOT","D","Drop","1-Burnley and Old Trafford","1","Fri May 10, 2024, 12:57PM","37"
"Jack Harrison","LEE/EVE","M,F","Claim","1-Koke Vegas","1","Fri May 10, 2024, 11:28AM","37"
"Lisandro Martinez","MUN","D","Drop","1-Koke Vegas","1","Fri May 10, 2024, 11:28AM","37"
"Willian","FUL","F","Claim","1-ComeBack Szn","1","Thu May 9, 2024, 9:00PM","37"
"Rico Lewis","MCI","D","Drop","1-ComeBack Szn","1","Thu May 9, 2024, 9:00PM","37"
"Giovani Lo Celso","TOT","M","Claim","1-The Dentist","1","Thu May 9, 2024, 2:39PM","37"
"Julio Enciso","BHA","F","Claim","1-The Dentist","1","Thu May 9, 2024, 2:39PM","37"
"Idrissa Gueye","EVE","M","Drop","1-The Dentist","1","Thu May 9, 2024, 2:35PM","37"
"Lisandro Martinez","MUN","D","Claim","1-Koke Vegas","1","Thu May 9, 2024, 9:40AM","37"
"Dara O'Shea","BUR","D","Drop","1-Koke Vegas","1","Thu May 9, 2024, 9:40AM","37"
"Ruben Dias","MCI","D","Claim","1-bruNO HARD FEELINGS","1","Tue May 7, 2024, 10:06PM","37"
"Jack Harrison","LEE/EVE","M,F","Drop","1-bruNO HARD FEELINGS","1","Tue May 7, 2024, 10:06PM","37"
"Danilo","NOT","M","Claim","1-The Dentist","1","Tue May 7, 2024, 9:34PM","37"
"Ederson","MCI","G","Claim","1-Burnley and Old Trafford","1","Tue May 7, 2024, 9:31PM","37"
"Mark Flekken","BRF","G","Drop","1-Burnley and Old Trafford","1","Tue May 7, 2024, 9:31PM","37"
"Joelinton","NEW","M","Claim","1-Burnley and Old Trafford","1","Tue May 7, 2024, 9:03PM","37"
"Ola Aina","NOT","D","Drop","1-Burnley and Old Trafford","1","Tue May 7, 2024, 9:03PM","37"
"Sean Longstaff","NEW","M","Claim","1-Burnley and Old Trafford","1","Tue May 7, 2024, 9:01PM","37"
"Harvey Barnes","NEW","M","Claim","1-OGBEAN'S","2","Tue May 7, 2024, 9:00PM","37"
"Willian","FUL","F","Drop","1-OGBEAN'S","2","Tue May 7, 2024, 9:00PM","37"
"Aaron Wan-Bissaka","MUN","D","Claim","1-OGBEAN'S","1","Tue May 7, 2024, 9:00PM","37"
"Reece Burke","LUT","D","Drop","1-OGBEAN'S","1","Tue May 7, 2024, 9:00PM","37"
"Thiago Silva","CHE","D","Claim","1-Koke Vegas","1","Tue May 7, 2024, 9:00PM","37"
"Malo Gusto","CHE","D","Claim","1 - The Narrative","1","Tue May 7, 2024, 9:00PM","37"
"Nathaniel Clyne","CRY","D","Drop","1 - The Narrative","1","Tue May 7, 2024, 7:05PM","37"
"Sander Berge","BUR","M","Drop","1-The Dentist","1","Tue May 7, 2024, 6:47AM","37"
"Will Hughes","CRY","M","Drop","1-The Dentist","1","Mon May 6, 2024, 6:20PM","37"
"Gonzalo Montiel","NOT","D","Drop","1-Koke Vegas","1","Mon May 6, 2024, 5:03PM","37"
"Nathaniel Clyne","CRY","D","Claim","1 - The Narrative","1","Mon May 6, 2024, 2:29PM","36"
"Amad Diallo","MUN","F","Drop","1 - The Narrative","1","Mon May 6, 2024, 2:29PM","36"
"Will Hughes","CRY","M","Claim","1-The Dentist","1","Mon May 6, 2024, 2:02PM","36"
"Aaron Wan-Bissaka","MUN","D","Drop","1-The Dentist","1","Mon May 6, 2024, 2:02PM","36"
"Amad Diallo","MUN","F","Claim","1 - The Narrative","1","Mon May 6, 2024, 10:44AM","36"
"Mason Mount","MUN","M","Claim","1 - The Narrative","1","Mon May 6, 2024, 10:44AM","36"
"Harry Maguire","MUN","D","Drop","1-rice cooker","1","Mon May 6, 2024, 9:44AM","36"
"Jonny Evans","MUN","D","Claim","1-rice cooker","1","Sun May 5, 2024, 12:50PM","36"
"Emerson Royal","TOT","D","Drop","1 - The Narrative","1","Sun May 5, 2024, 10:48AM","36"
"Emerson Royal","TOT","D","Claim","1 - The Narrative","1","Sun May 5, 2024, 10:36AM","36"
"Joel Veltman","BHA","D","Claim","1-bruNO HARD FEELINGS","1","Sun May 5, 2024, 8:25AM","36"
"Christian Eriksen","MUN","M","Claim","1-Koke Vegas","1","Sun May 5, 2024, 8:21AM","36"
"Julio Enciso","BHA","F","Drop","1-Burnley and Old Trafford","1","Sun May 5, 2024, 8:01AM","36"
"Ruben Dias","MCI","D","Drop","1-bruNO HARD FEELINGS","1","Sat May 4, 2024, 12:21PM","36"
"Chris Richards","CRY","D","Claim","1-Burnley and Old Trafford","1","Sat May 4, 2024, 12:03PM","36"
"Malo Gusto","CHE","D","Drop","1-Burnley and Old Trafford","1","Sat May 4, 2024, 12:03PM","36"
"Harvey Elliott","LIV","M","Claim","1-Burnley and Old Trafford","1","Sat May 4, 2024, 11:39AM","36"
"Pablo Sarabia","WOL","M","Drop","1-Burnley and Old Trafford","1","Sat May 4, 2024, 11:39AM","36"
"Mateo Kovacic","MCI","M","Claim","1-The Dentist","1","Sat May 4, 2024, 11:32AM","36"
"Elliot Anderson","NEW","M","Drop","1-Koke Vegas","1","Sat May 4, 2024, 9:22AM","36"
"Gonzalo Montiel","NOT","D","Claim","1-Koke Vegas","1","Sat May 4, 2024, 9:20AM","36"
"Danilo","NOT","M","Drop","1 - The Narrative","1","Sat May 4, 2024, 9:07AM","36"
"Lorenz Assignon","BUR","D","Claim","1 - The Narrative","1","Sat May 4, 2024, 9:07AM","36"
"Zanka","BRF","D","Drop","1 - The Narrative","1","Sat May 4, 2024, 9:07AM","36"
"Sander Berge","BUR","M","Claim","1-The Dentist","1","Sat May 4, 2024, 9:03AM","36"
"Dara O'Shea","BUR","D","Claim","1-Koke Vegas","1","Sat May 4, 2024, 9:03AM","36"
"Kevin Schade","BRF","M","Drop","1-Koke Vegas","1","Sat May 4, 2024, 9:02AM","36"
"Harvey Barnes","NEW","M","Drop","1-The Dentist","1","Sat May 4, 2024, 9:02AM","36"
"Giovanni Reyna","NOT","M","Drop","1-Koke Vegas","1","Sat May 4, 2024, 9:02AM","36"
"Callum Wilson","NEW","F","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 4, 2024, 7:38AM","36"
"Fabian Schar","NEW","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat May 4, 2024, 7:33AM","36"
"Takehiro Tomiyasu","ARS","D","Claim","1-bruNO HARD FEELINGS","1","Sat May 4, 2024, 7:11AM","36"
"Oleksandr Zinchenko","ARS","D","Drop","1-bruNO HARD FEELINGS","1","Sat May 4, 2024, 7:10AM","36"
"Vladimir Coufal","WHU","D","Claim","1-Burnley and Old Trafford","1","Sat May 4, 2024, 1:51AM","36"
"Murillo","NOT","D,M","Drop","1-Burnley and Old Trafford","1","Sat May 4, 2024, 1:51AM","36"
"Giovanni Reyna","NOT","M","Claim","1-Koke Vegas","1","Fri May 3, 2024, 10:18PM","36"
"Kevin Schade","BRF","M","Claim","1-Koke Vegas","1","Fri May 3, 2024, 10:15PM","36"
"Lyle Foster","BUR","F","Drop","1-Koke Vegas","1","Fri May 3, 2024, 4:44PM","36"
"Ben Davies","TOT","D","Drop","1-Koke Vegas","1","Fri May 3, 2024, 4:39PM","36"
"Trevoh Chalobah","CHE","D","Claim","1-ComeBack Szn","1","Fri May 3, 2024, 4:23PM","36"
"Jacob Bruun Larsen","BUR","F","Drop","1-ComeBack Szn","1","Fri May 3, 2024, 4:23PM","36"
"Youssef Chermiti","EVE","F","Drop","1-OGBEAN'S","1","Fri May 3, 2024, 2:07PM","36"
"Amadou Onana","EVE","M","Drop","1-Check Complete FC","1","Fri May 3, 2024, 2:01PM","36"
"David Raya","BRF/ARS","G","Claim","1-Check Complete FC","1","Fri May 3, 2024, 1:58PM","36"
"Emiliano Martinez","AVL","G","Drop","1-Check Complete FC","1","Fri May 3, 2024, 1:58PM","36"
"Jurrien Timber","ARS","D","Drop","1 - The Narrative","1","Fri May 3, 2024, 1:42PM","36"
"Zanka","BRF","D","Claim","1 - The Narrative","1","Fri May 3, 2024, 12:48PM","36"
"Toti","WOL","D","Drop","1 - The Narrative","1","Fri May 3, 2024, 12:48PM","36"
"Youssef Chermiti","EVE","F","Claim","1-OGBEAN'S","1","Thu May 2, 2024, 9:31PM","36"
"Adam Smith","BOU","D","Drop","1-OGBEAN'S","1","Thu May 2, 2024, 9:31PM","36"
"Reece Burke","LUT","D","Claim","1-OGBEAN'S","1","Thu May 2, 2024, 9:30PM","36"
"Idrissa Gueye","EVE","M","Claim","1-The Dentist","3","Thu May 2, 2024, 9:00PM","36"
"Harvey Barnes","NEW","M","Claim","1-The Dentist","2","Thu May 2, 2024, 9:00PM","36"
"Willy Boly","NOT","D","Claim","1-The Dentist","1","Thu May 2, 2024, 9:00PM","36"
"Antony","MUN","F","Claim","1-OGBEAN'S","1","Thu May 2, 2024, 9:00PM","36"
"Jacob Bruun Larsen","BUR","F","Claim","1-ComeBack Szn","1","Thu May 2, 2024, 9:00PM","36"
"Timo Werner","CHE/TOT","F","Drop","1-ComeBack Szn","1","Thu May 2, 2024, 9:00PM","36"
"Emil Krafth","NEW","D","Claim","1-Barkley’s Balls Sponsored by Baileys","3","Thu May 2, 2024, 9:00PM","36"
"Igor Julio","BHA","D","Drop","1-Barkley’s Balls Sponsored by Baileys","3","Thu May 2, 2024, 9:00PM","36"
"Timothy Castagne","LEI/FUL","D","Claim","1-rice cooker","1","Thu May 2, 2024, 9:00PM","36"
"Abdoulaye Doucoure","EVE","M","Claim","1-john lim","1","Thu May 2, 2024, 9:00PM","36"
"Ola Aina","NOT","D","Claim","1-Burnley and Old Trafford","1","Thu May 2, 2024, 9:00PM","36"
"Nelson Semedo","WOL","D","Drop","1-Burnley and Old Trafford","1","Thu May 2, 2024, 9:00PM","36"
"Chiedozie Ogbene","LUT","F","Drop","1-OGBEAN'S","1","Thu May 2, 2024, 8:45PM","36"
"Alex Scott","BOU","M","Drop","1-The Dentist","1","Thu May 2, 2024, 7:02PM","36"
"Thiago Silva","CHE","D","Drop","1-The Dentist","1","Thu May 2, 2024, 7:01PM","36"
"Murillo","NOT","D,M","Claim","1-Burnley and Old Trafford","1","Sun Apr 28, 2024, 10:34AM","35"
"Danilo","NOT","M","Claim","1 - The Narrative","1","Sun Apr 28, 2024, 10:32AM","35"
"Jan-Paul van Hecke","BHA","D","Drop","1-Burnley and Old Trafford","1","Thu Apr 25, 2024, 11:05PM","35"
"Alex Scott","BOU","M","Claim","1-The Dentist","1","Sun Apr 28, 2024, 8:23AM","35"
"Yves Bissouma","TOT","M","Drop","1-The Dentist","1","Sun Apr 28, 2024, 8:22AM","35"
"Jan-Paul van Hecke","BHA","D","Claim","1-Burnley and Old Trafford","1","Sun Apr 28, 2024, 1:32AM","35"
"Alex Scott","BOU","M","Drop","1-Burnley and Old Trafford","1","Sun Apr 28, 2024, 1:32AM","35"
"Igor Julio","BHA","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sun Apr 28, 2024, 12:25AM","35"
"Ben Davies","TOT","D","Claim","1-Koke Vegas","1","Sat Apr 27, 2024, 11:38AM","35"
"Emerson Royal","TOT","D","Drop","1-Koke Vegas","1","Sat Apr 27, 2024, 11:38AM","35"
"Emerson Royal","TOT","D","Claim","1-Koke Vegas","1","Sat Apr 27, 2024, 11:37AM","35"
"Zanka","BRF","D","Drop","1-Koke Vegas","1","Sat Apr 27, 2024, 11:32AM","35"
"Julio Enciso","BHA","F","Claim","1-Burnley and Old Trafford","1","Sat Apr 27, 2024, 11:16AM","35"
"Matt Doherty","WOL","D","Drop","1-john lim","1","Sat Apr 27, 2024, 9:38AM","35"
"Callum Wilson","NEW","F","Drop","1-Burnley and Old Trafford","1","Sat Apr 27, 2024, 9:38AM","35"
"Lyle Foster","BUR","F","Claim","1-Koke Vegas","1","Sat Apr 27, 2024, 9:37AM","35"
"Giovanni Reyna","NOT","M","Drop","1-Koke Vegas","1","Sat Apr 27, 2024, 9:37AM","35"
"Sean Longstaff","NEW","M","Drop","1-The Dentist","1","Sat Apr 27, 2024, 9:28AM","35"
"Chris Richards","CRY","D","Drop","1-OGBEAN'S","1","Sat Apr 27, 2024, 9:21AM","35"
"Toti","WOL","D","Claim","1 - The Narrative","1","Sat Apr 27, 2024, 9:20AM","35"
"Timothy Castagne","LEI/FUL","D","Drop","1 - The Narrative","1","Sat Apr 27, 2024, 9:20AM","35"
"Antony","MUN","F","Drop","1 - The Narrative","1","Sat Apr 27, 2024, 9:19AM","35"
